"","接种时间1","events","cumnum","group","N","rate"
"1",2020-09-28,1,1,"Patial vaccination",274363,0.000364480633321548
"2",2020-09-29,0,1,"Patial vaccination",274363,0.000364480633321548
"3",2020-09-30,0,1,"Patial vaccination",274363,0.000364480633321548
"4",2020-10-01,0,1,"Patial vaccination",274363,0.000364480633321548
"5",2020-10-02,0,1,"Patial vaccination",274363,0.000364480633321548
"6",2020-10-03,0,1,"Patial vaccination",274363,0.000364480633321548
"7",2020-10-04,1,2,"Patial vaccination",274363,0.000728961266643097
"8",2020-10-05,0,2,"Patial vaccination",274363,0.000728961266643097
"9",2020-10-06,0,2,"Patial vaccination",274363,0.000728961266643097
"10",2020-10-07,0,2,"Patial vaccination",274363,0.000728961266643097
"11",2020-10-08,0,2,"Patial vaccination",274363,0.000728961266643097
"12",2020-10-09,0,2,"Patial vaccination",274363,0.000728961266643097
"13",2020-10-10,0,2,"Patial vaccination",274363,0.000728961266643097
"14",2020-10-11,0,2,"Patial vaccination",274363,0.000728961266643097
"15",2020-10-12,0,2,"Patial vaccination",274363,0.000728961266643097
"16",2020-10-13,0,2,"Patial vaccination",274363,0.000728961266643097
"17",2020-10-14,0,2,"Patial vaccination",274363,0.000728961266643097
"18",2020-10-15,0,2,"Patial vaccination",274363,0.000728961266643097
"19",2020-10-16,2,4,"Patial vaccination",274363,0.00145792253328619
"20",2020-10-17,0,4,"Patial vaccination",274363,0.00145792253328619
"21",2020-10-18,5,9,"Patial vaccination",274363,0.00328032569989394
"22",2020-10-19,0,9,"Patial vaccination",274363,0.00328032569989394
"23",2020-10-20,0,9,"Patial vaccination",274363,0.00328032569989394
"24",2020-10-21,0,9,"Patial vaccination",274363,0.00328032569989394
"25",2020-10-22,0,9,"Patial vaccination",274363,0.00328032569989394
"26",2020-10-23,0,9,"Patial vaccination",274363,0.00328032569989394
"27",2020-10-24,0,9,"Patial vaccination",274363,0.00328032569989394
"28",2020-10-25,0,9,"Patial vaccination",274363,0.00328032569989394
"29",2020-10-26,0,9,"Patial vaccination",274363,0.00328032569989394
"30",2020-10-27,0,9,"Patial vaccination",274363,0.00328032569989394
"31",2020-10-28,0,9,"Patial vaccination",274363,0.00328032569989394
"32",2020-10-29,0,9,"Patial vaccination",274363,0.00328032569989394
"33",2020-10-30,0,9,"Patial vaccination",274363,0.00328032569989394
"34",2020-10-31,0,9,"Patial vaccination",274363,0.00328032569989394
"35",2020-11-01,0,9,"Patial vaccination",274363,0.00328032569989394
"36",2020-11-02,0,9,"Patial vaccination",274363,0.00328032569989394
"37",2020-11-03,0,9,"Patial vaccination",274363,0.00328032569989394
"38",2020-11-04,0,9,"Patial vaccination",274363,0.00328032569989394
"39",2020-11-05,0,9,"Patial vaccination",274363,0.00328032569989394
"40",2020-11-06,0,9,"Patial vaccination",274363,0.00328032569989394
"41",2020-11-07,0,9,"Patial vaccination",274363,0.00328032569989394
"42",2020-11-08,0,9,"Patial vaccination",274363,0.00328032569989394
"43",2020-11-09,0,9,"Patial vaccination",274363,0.00328032569989394
"44",2020-11-10,0,9,"Patial vaccination",274363,0.00328032569989394
"45",2020-11-11,0,9,"Patial vaccination",274363,0.00328032569989394
"46",2020-11-12,0,9,"Patial vaccination",274363,0.00328032569989394
"47",2020-11-13,1,10,"Patial vaccination",274363,0.00364480633321548
"48",2020-11-14,0,10,"Patial vaccination",274363,0.00364480633321548
"49",2020-11-15,1,11,"Patial vaccination",274363,0.00400928696653703
"50",2020-11-16,0,11,"Patial vaccination",274363,0.00400928696653703
"51",2020-11-17,0,11,"Patial vaccination",274363,0.00400928696653703
"52",2020-11-18,0,11,"Patial vaccination",274363,0.00400928696653703
"53",2020-11-19,0,11,"Patial vaccination",274363,0.00400928696653703
"54",2020-11-20,0,11,"Patial vaccination",274363,0.00400928696653703
"55",2020-11-21,0,11,"Patial vaccination",274363,0.00400928696653703
"56",2020-11-22,0,11,"Patial vaccination",274363,0.00400928696653703
"57",2020-11-23,0,11,"Patial vaccination",274363,0.00400928696653703
"58",2020-11-24,0,11,"Patial vaccination",274363,0.00400928696653703
"59",2020-11-25,0,11,"Patial vaccination",274363,0.00400928696653703
"60",2020-11-26,0,11,"Patial vaccination",274363,0.00400928696653703
"61",2020-11-27,0,11,"Patial vaccination",274363,0.00400928696653703
"62",2020-11-28,0,11,"Patial vaccination",274363,0.00400928696653703
"63",2020-11-29,2,13,"Patial vaccination",274363,0.00473824823318013
"64",2020-11-30,0,13,"Patial vaccination",274363,0.00473824823318013
"65",2020-12-01,0,13,"Patial vaccination",274363,0.00473824823318013
"66",2020-12-02,0,13,"Patial vaccination",274363,0.00473824823318013
"67",2020-12-03,1,14,"Patial vaccination",274363,0.00510272886650168
"68",2020-12-04,9,23,"Patial vaccination",274363,0.00838305456639562
"69",2020-12-05,13,36,"Patial vaccination",274363,0.0131213027995757
"70",2020-12-06,14,50,"Patial vaccination",274363,0.0182240316660774
"71",2020-12-07,13,63,"Patial vaccination",274363,0.0229622798992576
"72",2020-12-08,9,72,"Patial vaccination",274363,0.0262426055991515
"73",2020-12-09,0,72,"Patial vaccination",274363,0.0262426055991515
"74",2020-12-10,0,72,"Patial vaccination",274363,0.0262426055991515
"75",2020-12-11,4,76,"Patial vaccination",274363,0.0277005281324377
"76",2020-12-12,47,123,"Patial vaccination",274363,0.0448311178985505
"77",2020-12-13,28,151,"Patial vaccination",274363,0.0550365756315538
"78",2020-12-14,22,173,"Patial vaccination",274363,0.0630551495646279
"79",2020-12-15,1,174,"Patial vaccination",274363,0.0634196301979494
"80",2020-12-16,16,190,"Patial vaccination",274363,0.0692513203310942
"81",2020-12-17,12,202,"Patial vaccination",274363,0.0736250879309528
"82",2020-12-18,10,212,"Patial vaccination",274363,0.0772698942641683
"83",2020-12-19,7,219,"Patial vaccination",274363,0.0798212586974191
"84",2020-12-20,6,225,"Patial vaccination",274363,0.0820081424973484
"85",2020-12-21,12,237,"Patial vaccination",274363,0.086381910097207
"86",2020-12-22,35,272,"Patial vaccination",274363,0.0991387322634612
"87",2020-12-23,68,340,"Patial vaccination",274363,0.123923415329326
"88",2020-12-24,86,426,"Patial vaccination",274363,0.15526874979498
"89",2020-12-25,75,501,"Patial vaccination",274363,0.182604797294096
"90",2020-12-26,102,603,"Patial vaccination",274363,0.219781821892894
"91",2020-12-27,221,824,"Patial vaccination",274363,0.300332041856956
"92",2020-12-28,73,897,"Patial vaccination",274363,0.326939128089429
"93",2020-12-29,124,1021,"Patial vaccination",274363,0.372134726621301
"94",2020-12-30,310,1331,"Patial vaccination",274363,0.485123722950981
"95",2020-12-31,153,1484,"Patial vaccination",274363,0.540889259849178
"96",2021-01-01,12,1496,"Patial vaccination",274363,0.545263027449037
"97",2021-01-02,12,1508,"Patial vaccination",274363,0.549636795048895
"98",2021-01-03,23,1531,"Patial vaccination",274363,0.558019849615291
"99",2021-01-04,161,1692,"Patial vaccination",274363,0.61670123158006
"100",2021-01-05,147,1839,"Patial vaccination",274363,0.670279884678328
"101",2021-01-06,180,2019,"Patial vaccination",274363,0.735886398676206
"102",2021-01-07,99,2118,"Patial vaccination",274363,0.77196998137504
"103",2021-01-08,278,2396,"Patial vaccination",274363,0.87329559743843
"104",2021-01-09,600,2996,"Patial vaccination",274363,1.09198397743136
"105",2021-01-10,735,3731,"Patial vaccination",274363,1.3598772429227
"106",2021-01-11,263,3994,"Patial vaccination",274363,1.45573564948626
"107",2021-01-12,286,4280,"Patial vaccination",274363,1.55997711061623
"108",2021-01-13,282,4562,"Patial vaccination",274363,1.6627606492129
"109",2021-01-14,461,5023,"Patial vaccination",274363,1.83078622117414
"110",2021-01-15,515,5538,"Patial vaccination",274363,2.01849374733474
"111",2021-01-16,71,5609,"Patial vaccination",274363,2.04437187230057
"112",2021-01-17,31,5640,"Patial vaccination",274363,2.05567077193353
"113",2021-01-18,36,5676,"Patial vaccination",274363,2.06879207473311
"114",2021-01-19,60,5736,"Patial vaccination",274363,2.0906609127324
"115",2021-01-20,89,5825,"Patial vaccination",274363,2.12309968909802
"116",2021-01-21,31,5856,"Patial vaccination",274363,2.13439858873099
"117",2021-01-22,141,5997,"Patial vaccination",274363,2.18579035802933
"118",2021-01-23,35,6032,"Patial vaccination",274363,2.19854718019558
"119",2021-01-24,5,6037,"Patial vaccination",274363,2.20036958336219
"120",2021-01-25,10,6047,"Patial vaccination",274363,2.2040143896954
"121",2021-01-26,7,6054,"Patial vaccination",274363,2.20656575412865
"122",2021-01-27,8,6062,"Patial vaccination",274363,2.20948159919523
"123",2021-01-28,13,6075,"Patial vaccination",274363,2.21421984742841
"124",2021-01-29,6,6081,"Patial vaccination",274363,2.21640673122834
"125",2021-01-30,4,6085,"Patial vaccination",274363,2.21786465376162
"126",2021-01-31,2,6087,"Patial vaccination",274363,2.21859361502827
"127",2021-02-01,2,6089,"Patial vaccination",274363,2.21932257629491
"128",2021-02-02,5,6094,"Patial vaccination",274363,2.22114497946152
"129",2021-02-03,5,6099,"Patial vaccination",274363,2.22296738262812
"130",2021-02-04,5,6104,"Patial vaccination",274363,2.22478978579473
"131",2021-02-05,3,6107,"Patial vaccination",274363,2.2258832276947
"132",2021-02-06,6,6113,"Patial vaccination",274363,2.22807011149463
"133",2021-02-07,12,6125,"Patial vaccination",274363,2.23244387909448
"134",2021-02-08,8,6133,"Patial vaccination",274363,2.23535972416106
"135",2021-02-09,8,6141,"Patial vaccination",274363,2.23827556922763
"136",2021-02-10,5,6146,"Patial vaccination",274363,2.24009797239424
"137",2021-02-11,1,6147,"Patial vaccination",274363,2.24046245302756
"138",2021-02-12,0,6147,"Patial vaccination",274363,2.24046245302756
"139",2021-02-13,0,6147,"Patial vaccination",274363,2.24046245302756
"140",2021-02-14,1,6148,"Patial vaccination",274363,2.24082693366088
"141",2021-02-15,0,6148,"Patial vaccination",274363,2.24082693366088
"142",2021-02-16,1,6149,"Patial vaccination",274363,2.2411914142942
"143",2021-02-17,2,6151,"Patial vaccination",274363,2.24192037556084
"144",2021-02-18,2,6153,"Patial vaccination",274363,2.24264933682749
"145",2021-02-19,7,6160,"Patial vaccination",274363,2.24520070126074
"146",2021-02-20,2,6162,"Patial vaccination",274363,2.24592966252738
"147",2021-02-21,3,6165,"Patial vaccination",274363,2.24702310442735
"148",2021-02-22,4,6169,"Patial vaccination",274363,2.24848102696063
"149",2021-02-23,5,6174,"Patial vaccination",274363,2.25030343012724
"150",2021-02-24,63,6237,"Patial vaccination",274363,2.2732657100265
"151",2021-02-25,69,6306,"Patial vaccination",274363,2.29841487372568
"152",2021-02-26,54,6360,"Patial vaccination",274363,2.31809682792505
"153",2021-02-27,26,6386,"Patial vaccination",274363,2.32757332439141
"154",2021-02-28,4,6390,"Patial vaccination",274363,2.32903124692469
"155",2021-03-01,4,6394,"Patial vaccination",274363,2.33048916945798
"156",2021-03-02,5,6399,"Patial vaccination",274363,2.33231157262459
"157",2021-03-03,6,6405,"Patial vaccination",274363,2.33449845642452
"158",2021-03-04,5,6410,"Patial vaccination",274363,2.33632085959113
"159",2021-03-05,26,6436,"Patial vaccination",274363,2.34579735605749
"160",2021-03-06,2,6438,"Patial vaccination",274363,2.34652631732413
"161",2021-03-07,7,6445,"Patial vaccination",274363,2.34907768175738
"162",2021-03-08,81,6526,"Patial vaccination",274363,2.37860061305643
"163",2021-03-09,72,6598,"Patial vaccination",274363,2.40484321865558
"164",2021-03-10,120,6718,"Patial vaccination",274363,2.44858089465416
"165",2021-03-11,173,6891,"Patial vaccination",274363,2.51163604421879
"166",2021-03-12,183,7074,"Patial vaccination",274363,2.57833600011663
"167",2021-03-13,137,7211,"Patial vaccination",274363,2.62826984688169
"168",2021-03-14,93,7304,"Patial vaccination",274363,2.66216654578059
"169",2021-03-15,224,7528,"Patial vaccination",274363,2.74381020764462
"170",2021-03-16,267,7795,"Patial vaccination",274363,2.84112653674147
"171",2021-03-17,444,8239,"Patial vaccination",274363,3.00295593793624
"172",2021-03-18,552,8791,"Patial vaccination",274363,3.20414924752973
"173",2021-03-19,734,9525,"Patial vaccination",274363,3.47167803238775
"174",2021-03-20,540,10065,"Patial vaccination",274363,3.66849757438139
"175",2021-03-21,639,10704,"Patial vaccination",274363,3.90140069907385
"176",2021-03-22,559,11263,"Patial vaccination",274363,4.1051453731006
"177",2021-03-23,599,11862,"Patial vaccination",274363,4.32346927246021
"178",2021-03-24,776,12638,"Patial vaccination",274363,4.60630624391773
"179",2021-03-25,1404,14042,"Patial vaccination",274363,5.11803705310118
"180",2021-03-26,2013,16055,"Patial vaccination",274363,5.85173656797746
"181",2021-03-27,2092,18147,"Patial vaccination",274363,6.61423005288614
"182",2021-03-28,2301,20448,"Patial vaccination",274363,7.45289999015902
"183",2021-03-29,1935,22383,"Patial vaccination",274363,8.15817001563622
"184",2021-03-30,2144,24527,"Patial vaccination",274363,8.93961649347762
"185",2021-03-31,2554,27081,"Patial vaccination",274363,9.87050003098085
"186",2021-04-01,2790,29871,"Patial vaccination",274363,10.887400997948
"187",2021-04-02,2291,32162,"Patial vaccination",274363,11.7224261288876
"188",2021-04-03,715,32877,"Patial vaccination",274363,11.9830297817125
"189",2021-04-04,625,33502,"Patial vaccination",274363,12.2108301775385
"190",2021-04-05,1564,35066,"Patial vaccination",274363,12.7808778880534
"191",2021-04-06,2475,37541,"Patial vaccination",274363,13.6829674555243
"192",2021-04-07,2944,40485,"Patial vaccination",274363,14.7559984400229
"193",2021-04-08,2954,43439,"Patial vaccination",274363,15.8326742308547
"194",2021-04-09,3089,46528,"Patial vaccination",274363,16.958554907185
"195",2021-04-10,2672,49200,"Patial vaccination",274363,17.9324471594202
"196",2021-04-11,2235,51435,"Patial vaccination",274363,18.7470613748938
