"","level","0","1","p","test"
"n","","150661","48651","",""
"age (%)","0-6","  1615 ( 1.1) ","  121 ( 0.2) ","<0.001",""
"","7-19","  9363 ( 6.2) "," 1399 ( 2.9) ","",""
"","20-39"," 58911 (39.1) ","17044 (35.0) ","",""
"","40-59"," 52726 (35.0) ","21954 (45.1) ","",""
"","60+"," 27796 (18.4) "," 8107 (16.7) ","",""
"","Unknown","   250 ( 0.2) ","   26 ( 0.1) ","",""
"sex (%)","Male"," 83263 (55.3) ","29409 (60.4) ","<0.001",""
"","Female"," 66581 (44.2) ","19223 (39.5) ","",""
"","Unknown","   817 ( 0.5) ","   19 ( 0.0) ","",""
"status (%)","Patial vaccination","  6968 ( 4.6) "," 1529 ( 3.1) ","<0.001",""
"","Full vaccination"," 66486 (44.1) ","19060 (39.2) ","",""
"","Booster vaccination"," 77207 (51.2) ","28062 (57.7) ","",""
"severity_fir (%)","Asymptomatic"," 65333 (43.4) ","16251 (33.4) ","<0.001",""
"","Mild and moderate","  6087 ( 4.0) "," 1515 ( 3.1) ","",""
"","Severe or critical","    27 ( 0.0) ","    5 ( 0.0) ","",""
"","Unknown"," 79214 (52.6) ","30880 (63.5) ","",""
